"hanZi","unicode","gbk","pinYin","buShou","biHua","wuXing","fanTi","wuBi"
"珔","0x73d4","ab85","jiàn","王","10","null","珔","GDHB"
"珕","0x73d5","ab86","lì","王","10","null","珕","GLLL"
"珖","0x73d6","ab87","guāng","王","10","null","珖","GIQN"
"珗","0x73d7","ab88","xiān","王","10","null","珗","GTFQ"
"珘","0x73d8","ab89","zhōu","王","10","null","珘","GTEY"
"珙","0x73d9","e7ee","gǒng","王","10","木","珙","GAWY"
"珚","0x73da","ab8a","yān","王","10","null","珚","GLDY"
"珛","0x73db","ab8b","xiù","王","10","null","珛","GDEG"
"珜","0x73dc","ab8c","yáng","王","10","null","珜","GUDH"
"珝","0x73dd","ab8d","xǔ","王","10","null","珝","GNG"
"珞","0x73de","e7f3","luò","王","10","火","珞","GTKG"
"珟","0x73df","ab8e","sù","王","10","null","珟","GMGQ"
"珠","0x73e0","d6e9","null","null",,"null","null","null"
"珡","0x73e1","ab8f","qín","王","10","null","珡","GGWU"
"珢","0x73e2","ab90","yín kèn","王","10","null","珢","GVEY"
"珣","0x73e3","ab91","xún","王","10","火","珣","GQJG"
"珤","0x73e4","ab92","bǎo","王","10","null","珤","GRMH"
"珥","0x73e5","e7ed","ěr","王","10","火","珥","GBG"
"珦","0x73e6","ab93","xiàng","王","10","null","珦","GTMK"
"珧","0x73e7","e7f2","yáo","王","10","火","珧","GIQN"
"珨","0x73e8","ab94","xiá","王","10","null","珨","GWGK"
"珩","0x73e9","e7f1","héng","王","10","水","珩","GTFH"
"珪","0x73ea","ab95","guī","王","10","null","珪","GFFG"
"珫","0x73eb","ab96","chōng","王","10","null","珫","GYCQ"
"珬","0x73ec","ab97","xù","王","10","null","珬","GDGT"
"班","0x73ed","b0e0","null","null",,"null","null","null"
"珮","0x73ee","ab98","null","null",,"null","null","null"
"珯","0x73ef","ab99","lǎo","王","10","null","珯","GFTX"
"珰","0x73f0","ab9a","dāng","王","10","null","璫","GIVG"
"珱","0x73f1","ab9b","yīng","王","10","null","珱","GIVG"
"珲","0x73f2","e7f5","huī hún","王","10","水","琿","GPLH"
"珳","0x73f3","ab9c","wén","王","11","null","珳","GYET"
"珴","0x73f4","ab9d","é","王","11","null","珴","GTRT"
"珵","0x73f5","ab9e","chéng","王","11","null","珵","GKGG"
"珶","0x73f6","ab9f","dì tí","王","11","null","珶","GUXT"
"珷","0x73f7","aba0","wǔ","王","12","木","珷","GGAH"
"珸","0x73f8","ac40","wú","王","11","null","珸","GGKG"
"珹","0x73f9","ac41","chéng","王","10","null","珹","GDNT"
"珺","0x73fa","ac42","jùn","王","11","木","珺","GVTK"
"珻","0x73fb","ac43","méi","王","11","null","珻","GTXU"
"珼","0x73fc","ac44","bèi","王","11","null","珼","GMY"
"珽","0x73fd","ac45","tǐng","王","10","火","珽","GTFP"
"現","0x73fe","ac46","xiàn","王","11","null","null","GHQN"
"珿","0x73ff","ac47","chù","王","11","null","珿","GKHY"
"琀","0x7400","ac48","hán","王","11","水","琀","GWYK"
"琁","0x7401","ac49","xuán qióng","王","11","null","琁","GTNH"
"琂","0x7402","ac4a","yán","王","11","null","琂","GYG"
"球","0x7403","c7f2","qiú","王","11","木","球","GFIY"
"琄","0x7404","ac4b","xuàn","王","11","null","琄","GKEG"
"琅","0x7405","c0c5","láng","王","11","火","琅","GYVE"
"理","0x7406","c0ed","lǐ","王","11","火","理","null"
"琇","0x7407","ac4c","xiù","王","11","金","琇","GTEN"
"琈","0x7408","ac4d","fú fū","王","11","null","琈","GEBG"
"琉","0x7409","c1f0","liú","王","11","火","琉","GYCQ"
"琊","0x740a","e7f0","yá","王","10","土","琊","GAHB"
"琋","0x740b","ac4e","xī","王","11","null","琋","GQDH"
"琌","0x740c","ac4f","líng","王","11","null","琌","GMWN"
"琍","0x740d","ac50","lí","王","11","null","琍","GTJH"
"琎","0x740e","ac51","jìn","王","11","火","璡","GFJP"
"琏","0x740f","e7f6","liǎn","王","11","火","璉","GLPY"
"琐","0x7410","cbf6","suǒ","王","11","金","瑣","GIMY"
"琑","0x7411","ac52","suǒ","王","11","null","琑","GIEG"
"琒","0x7412","ac53","fēng","王","11","null","琒","GTDH"
"琓","0x7413","ac54","wán","王","11","null","琓","GPFQ"
"琔","0x7414","ac55","diàn","王","12","null","琔","GPGH"
"琕","0x7415","ac56","bǐng pín","王","12","null","琕","GRTF"
"琖","0x7416","ac57","zhǎn","王","12","null","琖","null"
"琗","0x7417","ac58","cuì sè","王","12","null","琗","GYWF"
"琘","0x7418","ac59","mín","王","12","null","琘","GQAJ"
"琙","0x7419","ac5a","yù","王","12","null","琙","GAKG"
"琚","0x741a","e8a2","jū","王","12","木","琚","GNDG"
"琛","0x741b","e8a1","chēn","王","12","金","琛","GPWS"
"琜","0x741c","ac5b","lái","王","12","null","琜","GSWW"
"琝","0x741d","ac5c","mín","王","12","null","琝","GJYY"
"琞","0x741e","ac5d","shèng","玉","13","null","琞","JEGY"
"琟","0x741f","ac5e","yù wéi","王","12","null","琟","GWYG"
"琠","0x7420","ac5f","tiǎn tiàn","王","12","null","琠","GMAW"
"琡","0x7421","ac60","chù","王","12","null","琡","GHIC"
"琢","0x7422","d7c1","zhuó zuó","王","12","火","琢","GEYY"
"琣","0x7423","ac61","běng pěi","王","12","null","琣","GUKG"
"琤","0x7424","ac62","chēng","王","10","金","琤","GQVH"
"琥","0x7425","e7fa","hǔ","王","12","水","琥","GHAM"
"琦","0x7426","e7f9","qí","王","12","木","琦","GDSK"
"琧","0x7427","ac63","è","玉","13","null","琧","GHGY"
"琨","0x7428","e7fb","kūn","王","12","木","琨","GJXX"
"琩","0x7429","ac64","chāng","王","12","null","琩","GJJG"
"琪","0x742a","e7f7","qí","王","12","木","琪","GADW"
"琫","0x742b","ac65","běng","王","12","水","琫","GDWH"
"琬","0x742c","e7fe","wǎn","王","12","土","琬","GPQB"
"琭","0x742d","ac66","lù","王","12","火","琭","GVIY"
"琮","0x742e","e7fd","cóng","王","12","金","琮","GPFI"
"琯","0x742f","ac67","guǎn","王","12","木","琯","GPNN"
"琰","0x7430","e7fc","yǎn","王","12","火","琰","GOOY"
"琱","0x7431","ac68","diāo","王","12","null","琱","GMFK"
"琲","0x7432","ac69","bèi","王","12","水","琲","GDJD"
"琳","0x7433","c1d5","lín","王","12","木","琳","GSSY"
"琴","0x7434","c7d9","null","null",,"null","null","null"
"琵","0x7435","c5fd","pí","比","12","水","琵","GGXX"
"琶","0x7436","c5c3","pá","王","12","水","琶","GGCB"
"琷","0x7437","ac6a","què","王","11","null","琷","GUDN"
"琸","0x7438","ac6b","zhuó","王","12","null","琸","GHJH"
"琹","0x7439","ac6c","qín","木","12","null","琹","GGSU"
"琺","0x743a","ac6d","fà","王","12","null","琺","GIFC"
"琻","0x743b","ac6e","jīn","王","12","null","琻","GQG"
"琼","0x743c","c7ed","qióng","王","12","木","瓊","GYIY"
"琽","0x743d","ac6f","dǔ","王","12","null","琽","GFTJ"
"琾","0x743e","ac70","jiè","王","13","null","琾","GLWJ"
"琿","0x743f","ac71","hún huī","王","13","null","null","GPLH"
"瑀","0x7440","ac72","yǔ","王","13","null","瑀","GTKY"
"瑁","0x7441","e8a3","mào","王","13","水","瑁","GJHG"
"瑂","0x7442","ac73","méi","王","13","null","瑂","GNHG"
"瑃","0x7443","ac74","chūn","王","13","-","瑃","GDWJ"
"瑄","0x7444","ac75","xuān","王","13","null","瑄","GPGG"
"瑅","0x7445","ac76","tí","王","13","null","瑅","GJGH"
"瑆","0x7446","ac77","xīng","王","13","null","瑆","GJTG"
"瑇","0x7447","ac78","dài","王","13","null","瑇","GGXU"
"瑈","0x7448","ac79","róu","王","13","null","瑈","GCBS"
"瑉","0x7449","ac7a","mín","王","13","null","瑉","GNAJ"
"瑊","0x744a","ac7b","jiān","王","13","null","瑊","GDGT"
"瑋","0x744b","ac7c","wěi","王","13","null","null","GNHH"
"瑌","0x744c","ac7d","ruǎn","王","13","null","瑌","GDMD"
"瑍","0x744d","ac7e","huàn","王","13","null","瑍","GQMD"
"瑎","0x744e","ac80","xié jiē","王","13","null","瑎","GXXR"
"瑏","0x744f","ac81","chuān","王","13","null","瑏","GPWT"
"瑐","0x7450","ac82","jiǎn","王","13","null","瑐","GUEJ"
"瑑","0x7451","ac83","zhuàn","王","13","null","瑑","GXEY"
"瑒","0x7452","ac84","chàng dàng yáng","王","13","null","null","GJGR"
"瑓","0x7453","ac85","liàn","王","13","null","瑓","GGLI"
"瑔","0x7454","ac86","quán","王","13","null","瑔","GRIY"
"瑕","0x7455","e8a6","xiá","王","13","土","瑕","GNHC"
"瑖","0x7456","ac87","duàn","王","13","null","瑖","GWDC"
"瑗","0x7457","e8a5","yuàn","王","13","木","瑗","GEFC"
"瑘","0x7458","ac88","yé","王","12","null","瑘","GBBH"
"瑙","0x7459","e8a7","nǎo","王","13","火","瑙","GVTQ"
"瑚","0x745a","baf7","hú","王","13","水","瑚","GDEG"
"瑛","0x745b","e7f8","yīng","王","12","土","瑛","GAMD"
"瑜","0x745c","e8a4","yú","王","13","金","瑜","GWGJ"
"瑝","0x745d","ac89","huáng","王","13","null","瑝","GRGG"
"瑞","0x745e","c8f0","ruì","王","13","金","瑞","GMDJ"
"瑟","0x745f","c9aa","null","null",,"null","null","null"
"瑠","0x7460","ac8a","liú","王","14","null","瑠","GQYL"
"瑡","0x7461","ac8b","shī","王","14","null","瑡","GWNH"
"瑢","0x7462","ac8c","róng","王","14","null","瑢","GPWK"
"瑣","0x7463","ac8d","suǒ","王","14","null","null","GIMY"
"瑤","0x7464","ac8e","yáo","王","14","null","瑤","GQRM"
"瑥","0x7465","ac8f","wēn","王","13","null","瑥","GJLG"
"瑦","0x7466","ac90","wǔ","王","14","null","瑦","GWNO"
"瑧","0x7467","ac91","zhēn","王","14","null","瑧","GDWT"
"瑨","0x7468","ac92","jìn","王","14","null","瑨","GGOJ"
"瑩","0x7469","ac93","yíng","玉","15","null","null","OOPY"
"瑪","0x746a","ac94","mǎ","王","14","null","null","GCY"
"瑫","0x746b","ac95","tāo","王","14","null","瑫","GEVG"
"瑬","0x746c","ac96","liú","玉","15","null","瑬","IYCY"
"瑭","0x746d","e8a9","táng","王","14","火","瑭","GYVK"
"瑮","0x746e","ac97","lì","王","14","null","瑮","GSSY"
"瑯","0x746f","ac98","láng","王","12","null","瑯","GYVB"
"瑰","0x7470","b9e5","guī","王","13","木","瑰","GRQC"
"瑱","0x7471","ac99","tiàn zhèn","王","14","null","瑱","GFHW"
"瑲","0x7472","ac9a","qiāng cāng","王","14","null","null","GWYK"
"瑳","0x7473","ac9b","cuō","王","13","null","瑳","GUDA"
"瑴","0x7474","ac9c","jué","玉","14","null","瑴","FPGC"
"瑵","0x7475","ac9d","zhǎo","王","13","null","瑵","GCYJ"
"瑶","0x7476","d1fe","yáo","王","14","火","瑶","GERM"
"瑷","0x7477","e8a8","ài","王","14","土","璦","GEPC"
"瑸","0x7478","ac9e","bīn pián","王","14","null","瑸","GPRW"
"瑹","0x7479","ac9f","tú shū","王","14","null","瑹","GAWT"
"瑺","0x747a","aca0","cháng","王","15","null","瑺","GIPH"
"瑻","0x747b","ad40","kūn","王","15","null","瑻","GXFM"
"瑼","0x747c","ad41","zhuān","王","15","null","瑼","GGJF"
"瑽","0x747d","ad42","cōng","王","15","null","瑽","GTWH"
"瑾","0x747e","e8aa","jǐn","王","15","火","瑾","GAKG"
"瑿","0x747f","ad43","yī","玉","16","null","瑿","ATDY"
"璀","0x7480","e8ad","cuǐ","王","15","金","璀","GMWY"
"璁","0x7481","e8ae","cōng","王","15","金","璁","GTLN"
"璂","0x7482","ad44","qí","王","15","null","璂","GADF"
"璃","0x7483","c1a7","lí","王","14","火","璃","GYBC"
"璄","0x7484","ad45","jǐng","王","15","null","璄","GUJQ"
"璅","0x7485","ad46","zǎo suǒ","王","15","null","璅","GVJS"
"璆","0x7486","ad47","qiú","王","15","null","璆","GNWE"
"璇","0x7487","e8af","xuán","王","15","火","璇","GYTH"
"璈","0x7488","ad48","áo","王","14","土","璈","GGQT"
"璉","0x7489","ad49","liǎn","王","14","null","null","GLPY"
"璊","0x748a","ad4a","mén","王","15","null","璊","GAMY"
"璋","0x748b","e8b0","zhāng","王","15","火","璋","GUJH"
"璌","0x748c","ad4b","yín","王","15","null","璌","GPGW"
"璍","0x748d","ad4c","yè","王","14","null","璍","GAGF"
"璎","0x748e","e8ac","yīng","王","15","土","瓔","GMMV"
"璏","0x748f","ad4d","zhì","王","16","null","璏","GXGX"
"璐","0x7490","e8b4","lù","王","17","火","璐","GKHK"
"璑","0x7491","ad4e","wú","王","16","null","璑","GRLO"
"璒","0x7492","ad4f","dēng","王","16","null","璒","GWGU"
"璓","0x7493","ad50","xiù","王","14","null","璓","GATE"
"璔","0x7494","ad51","zēng","王","16","null","璔","GULJ"
"璕","0x7495","ad52","xún","王","16","null","璕","GVAF"
"璖","0x7496","ad53","qú","王","15","null","璖","GIAS"
"璗","0x7497","ad54","dàng","玉","17","null","璗","IJGY"
"璘","0x7498","ad55","lín","王","16","null","璘","GOQH"
"璙","0x7499","ad56","liáo","王","16","null","璙","GDUI"
"璚","0x749a","ad57","jué qióng","王","16","null","璚","GCBK"
"璛","0x749b","ad58","sù","王","17","null","璛","GVHH"
"璜","0x749c","e8ab","huáng","王","15","水","璜","GAMW"
"璝","0x749d","ad59","guī","王","16","null","璝","GKHM"
"璞","0x749e","e8b1","pú","王","16","水","璞","GOGY"
"璟","0x749f","ad5a","jǐng","王","16","null","璟","GJYI"
"璠","0x74a0","ad5b","fán","王","16","水","璠","GTOL"
"璡","0x74a1","ad5c","jīn","王","15","null","null","GWYP"
"璢","0x74a2","ad5d","liú","王","16","null","璢","GGAL"
"璣","0x74a3","ad5e","jī","王","16","null","null","GXXT"
"璤","0x74a4","ad5f","huì","王","16","null","璤","GGJN"
"璥","0x74a5","ad60","jǐng","王","16","null","璥","GAQT"
"璦","0x74a6","ad61","ài","王","17","null","null","GEPT"
"璧","0x74a7","e8b5","bì","玉","18","土","璧","NKUY"
"璨","0x74a8","e8b2","càn","王","17","金","璨","GHQO"
"璩","0x74a9","e8b3","qú","王","17","木","璩","GHAE"
"璪","0x74aa","ad62","zǎo","王","17","null","璪","GKKS"
"璫","0x74ab","ad63","dāng","王","17","null","null","GIPL"
"璬","0x74ac","ad64","jiǎo","王","17","-","璬","GRYT"
"璭","0x74ad","ad65","guǎn","王","16","null","璭","GPLP"
"璮","0x74ae","ad66","tǎn","王","17","null","璮","GYLG"
"璯","0x74af","ad67","huì kuài","王","17","null","璯","GWGJ"
"環","0x74b0","ad68","huán","王","17","null","null","GLGE"
"璱","0x74b1","ad69","sè","王","17","null","璱","GGGT"
"璲","0x74b2","ad6a","suì","王","16","null","璲","GUEP"
"璳","0x74b3","ad6b","tián","王","17","null","璳","GRIM"
"璴","0x74b4","ad6c","chǔ","王","17","null","璴","GSSH"
"璵","0x74b5","ad6d","yú","王","17","null","null","GWFW"
"璶","0x74b6","ad6e","jìn","王","18","null","璶","GVHL"
"璷","0x74b7","ad6f","lú fū","王","19","null","璷","GGET"
"璸","0x74b8","ad70","bīn pián","王","18","null","璸","GPGM"
"璹","0x74b9","ad71","shú","王","18","null","璹","GFNF"
"璺","0x74ba","e8b7","wèn","玉","20","金","璺","WFMY"
"璻","0x74bb","ad72","zuǐ","王","18","null","璻","GNYF"
"璼","0x74bc","ad73","lán","王","18","null","璼","GAHL"
"璽","0x74bd","ad74","xǐ","玉","19","null","null","GWMY"
"璾","0x74be","ad75","jì zī","王","18","null","璾","GYVF"
"璿","0x74bf","ad76","xuán","王","18","null","璿","GHPH"
"瓀","0x74c0","ad77","ruǎn","王","18","null","瓀","GFDJ"
"瓁","0x74c1","ad78","wò","王","17","null","瓁","GAWC"
"瓂","0x74c2","ad79","gài","王","17","null","瓂","GAFL"
"瓃","0x74c3","ad7a","léi","王","19","null","瓃","GLLL"
"瓄","0x74c4","ad7b","dú","王","19","null","瓄","GFLM"
"瓅","0x74c5","ad7c","lì","王","19","null","瓅","GXRS"
"瓆","0x74c6","ad7d","zhì","王","19","null","瓆","GRRM"
"瓇","0x74c7","ad7e","róu","王","19","null","瓇","GDET"
"瓈","0x74c8","ad80","lí","王","19","null","瓈","GTQI"
"瓉","0x74c9","ad81","zàn","王","19","null","瓉","GFWM"
"瓊","0x74ca","ad82","qióng","王","18","null","null","GQMT"
"瓋","0x74cb","ad83","tì","王","18","null","瓋","GUMP"
"瓌","0x74cc","ad84","guī","王","20","null","瓌","GYLE"
"瓍","0x74cd","ad85","suí","王","18","null","瓍","GBDP"
"瓎","0x74ce","ad86","là","王","20","null","瓎","GGKM"
"瓏","0x74cf","ad87","lóng","王","20","null","null","GUED"
"瓐","0x74d0","ad88","lú","王","20","null","瓐","GHAL"
"瓑","0x74d1","ad89","lì","王","20","null","瓑","GDTH"
"瓒","0x74d2","e8b6","zàn","王","20","金","瓚","GTFM"
"瓓","0x74d3","ad8a","làn","王","21","null","瓓","GUGI"
"瓔","0x74d4","ad8b","yīng","王","21","null","null","GMMV"
"瓕","0x74d5","ad8c","mí xǐ","玉","22","null","瓕","XGWY"
"瓖","0x74d6","ad8d","xiāng","王","21","null","瓖","GYKE"
"瓗","0x74d7","ad8e","qióng wěi wèi","王","22","null","瓗","GMWK"
"瓘","0x74d8","ad8f","guàn","王","21","木","瓘","GAKY"
"瓙","0x74d9","ad90","dào","王",,"null","瓙","null"
"瓚","0x74da","ad91","zàn","王","23","null","null","GTFM"
"瓛","0x74db","ad92","huán yè yà","王","24","null","瓛","GHAD"
"瓜","0x74dc","b9cf","null","null",,"null","null","null"
"瓝","0x74dd","ad93","bó","瓜","8","水","瓝","RCYY"
"瓞","0x74de","f0ac","dié","瓜","10","火","瓞","RCYW"
"瓟","0x74df","ad94","bó páo","瓜","10","null","瓟","RCYN"
"瓠","0x74e0","f0ad","hù","瓜","11","水","瓠","DFNY"
"瓡","0x74e1","ad95","zhí hú","瓜","13","null","瓡","FUFY"
"瓢","0x74e2","c6b0","piáo","瓜","16","水","瓢","SFIY"
"瓣","0x74e3","b0ea","bàn","辛","19","水","瓣","URCU"
"瓤","0x74e4","c8bf","ráng","瓜","22","水","瓤","YKKY"
"瓥","0x74e5","ad96","lì","瓜","24","null","瓥","RCYJ"
"瓦","0x74e6","cddf","null","null",,"null","null","null"
"瓧","0x74e7","ad97","shíwǎ","瓦","6","null","瓧","GNYF"
"瓨","0x74e8","ad98","xiáng hóng","瓦","7","null","瓨","AGNN"
"瓩","0x74e9","ad99","qiānwǎ","瓦","7","null","瓩","GNYF"
"瓪","0x74ea","ad9a","bǎn","瓦","8","null","瓪","GNYC"
"瓫","0x74eb","ad9b","pén","瓦","8","null","瓫","WVGN"
"瓬","0x74ec","ad9c","fǎng","瓦","8","null","瓬","YGNN"
"瓭","0x74ed","ad9d","dǎn","瓦","8","null","瓭","PQGN"
"瓮","0x74ee","cecd","wèng","瓦","8","土","瓮","WCGN"
"瓯","0x74ef","eab1","ōu","瓦","8","土","甌","AQGN"
"瓰","0x74f0","ad9e","fēnwǎ","瓦","8","null","瓰","GNYV"
"瓱","0x74f1","ad9f","máowǎ","瓦","8","null","瓱","GNYN"
"瓲","0x74f2","ada0","túnwǎ","瓦","8","null","瓲","GNYN"
"瓳","0x74f3","ae40","hú","瓦","9","null","瓳","DGNN"
"瓴","0x74f4","eab2","líng","瓦","9","火","瓴","WYCN"
"瓵","0x74f5","ae41","yí","瓦","9","null","瓵","CKGN"
"瓶","0x74f6","c6bf","null","null",,"null","null","null"
"瓷","0x74f7","b4c9","cí","瓦","10","金","瓷","UQWN"
"瓸","0x74f8","ae42","bǎiwǎ","瓦","10","null","瓸","GNYJ"
"瓹","0x74f9","ae43","juàn juān","瓦","11","null","瓹","KEGN"
"瓺","0x74fa","ae44","cháng","瓦","11","null","瓺","DGNN"
"瓻","0x74fb","ae45","chī","瓦","11","金","瓻","QDMN"
"瓼","0x74fc","ae46","lǐwǎ","瓦","11","null","瓼","GNYF"
"瓽","0x74fd","ae47","dàng","瓦","12","null","瓽","IPKN"
"瓾","0x74fe","ae48","wā","瓦","12","null","瓾","TVGN"
"瓿","0x74ff","eab3","bù","瓦","12","水","瓿","UKGN"
"甀","0x7500","ae49","zhuì","瓦","12","null","甀","TGAN"
"甁","0x7501","ae4a","píng","瓦","12","null","甁","TFTN"
"甂","0x7502","ae4b","biān","瓦","13","null","甂","YNMN"
"甃","0x7503","ae4c","zhòu","瓦","13","null","甃","TOGN"
"甄","0x7504","d5e7","zhēn","瓦","13","金","甄","SFGN"
"甅","0x7505","ae4d","líwǎ","瓦","13","null","甅","GNYF"
"甆","0x7506","ae4e","cí","瓦","13","null","甆","UXXN"
"甇","0x7507","ae4f","yīng","瓦","14","null","甇","OOPN"
"甈","0x7508","ae50","qì","瓦","14","null","甈","THSN"
"甉","0x7509","ae51","xián","瓦","14","null","甉","UVON"
"甊","0x750a","ae52","lǒu","瓦","15","null","甊","KGKN"
"甋","0x750b","ae53","dì","瓦","15","null","甋","UMDN"
"甌","0x750c","ae54","ōu","瓦","15","null","null","AKKN"
"甍","0x750d","ddf9","méng","瓦","14","木","甍","ALPN"
"甎","0x750e","ae55","zhuān","瓦","15","null","甎","GJHN"
"甏","0x750f","eab4","bèng","瓦","16","水","甏","null"
"甐","0x7510","ae56","lìn","瓦","16","null","甐","OQAN"
"甑","0x7511","eab5","zèng","瓦","16","金","甑","ULJN"
"甒","0x7512","ae57","wǔ","瓦","16","null","甒","RLGN"
"甓","0x7513","eab6","pì","瓦","17","null","甓","NKUN"
"甔","0x7514","ae58","dān","瓦","17","null","甔","QDWN"
"甕","0x7515","ae59","wèng","瓦","17","null","甕","YXTN"
"甖","0x7516","ae5a","yīng","瓦","18","null","甖","MMGN"
"甗","0x7517","ae5b","yǎn","瓦","20","null","甗","HAGN"
"甘","0x7518","b8ca","gān","甘","5","木","甘","AFD"
"甙","0x7519","dfb0","dài","甘","8","火","甙","AAFD"
"甚","0x751a","c9f5","shèn shén","一","9","金","甚","ADWN"
"甛","0x751b","ae5c","tián","甘","11","null","甛","AFTD"
"甜","0x751c","ccf0","tián","舌","11","火","甜","TDAF"
"甝","0x751d","ae5d","hán","甘","13","null","甝","HAMF"
"甞","0x751e","ae5e","cháng","甘","13","null","甞","IPKF"
"生","0x751f","c9fa","shēng","生","5","金","生","TGD"
"甠","0x7520","ae5f","qíng","生","9","null","甠","JTGG"
"甡","0x7521","ae60","shēn","生","10","null","甡","TGTG"
"產","0x7522","ae61","chǎn","生","11","null","null","YDTG"
"産","0x7523","ae62","chǎn","生","11","null","産","UTTG"
"甤","0x7524","ae63","ruí","生","12","null","甤","ETGD"
"甥","0x7525","c9fb","shēng","生","12","金","甥","TGLL"
"甦","0x7526","ae64","sū","生","12","null","甦","GJQG"
"甧","0x7527","ae65","shēn","生","14","null","甧","TGTE"
"用","0x7528","d3c3","yòng","冂","5","土","用","ETNH"
"甩","0x7529","cba6","shuǎi","丿、冂","5","金","甩","ENV"
"甪","0x752a","ae66","lù","用","6","火","甪","TEK"
"甫","0x752b","b8a6","fǔ","用","7","水","甫","GEHY"
"甬","0x752c","f0ae","yǒng","用","7","土","甬","CEJ"
"甭","0x752d","b1c2","béng","一","9","水","甭","GIEJ"
"甮","0x752e","ae67","béng","用","9","null","甮","QREJ"
"甯","0x752f","e5b8","níng nìng","宀","12","金","甯","PNEJ"
"田","0x7530","ccef","null","null",,"null","null","null"
"由","0x7531","d3c9","yóu","丨","5","土","由","MHNG"
"甲","0x7532","bcd7","jiǎ","丨","5","木","甲","LHNH"
"申","0x7533","c9ea","shēn","丨","5","金","申","JHK"
"甴","0x7534","ae68","yóu zhá","田","5","null","甴","JHK"
"电","0x7535","b5e7","null","null",,"null","null","null"
"甶","0x7536","ae69","fú","田","6","null","甶","TLD"
"男","0x7537","c4d0","nán","田","7","火","男","LLB"
"甸","0x7538","b5e9","diàn tián shèng","勹","7","火","甸","QLD"
"甹","0x7539","ae6a","pīng","田","7","null","甹","MGNB"
"町","0x753a","eeae","tǐng dīng","田","7","火","町","LSH"
"画","0x753b","bbad","null","null",,"null","null","null"
"甼","0x753c","ae6b","tǐng dīng","田","7","null","甼","LSJ"
"甽","0x753d","ae6c","zhèn","田","8","null","甽","LKH"
"甾","0x753e","e7de","zāi zī","田","8","金","甾","VLF"
"甿","0x753f","ae6d","méng","田","8","null","甿","LYNN"
"畀","0x7540","eeaf","bì","田","8","水","畀","LGJJ"
"畁","0x7541","ae6e","bì qí","田","8","null","畁","MGJJ"
"畂","0x7542","ae6f","mǔ","田","8","null","畂","LQYY"
"畃","0x7543","ae70","xún","田","8","null","畃","JHQY"
"畄","0x7544","ae71","liú","田","8","null","畄","ILF"
"畅","0x7545","b3a9","chàng","丨","8","火","暢","JHNR"
"畆","0x7546","ae72","mǔ","田","9","null","畆","YLCY"
"畇","0x7547","ae73","yún","田","9","null","畇","LQUG"
"畈","0x7548","eeb2","fàn","田","9","水","畈","LRCY"
"畉","0x7549","ae74","fú","田","9","null","畉","LFWY"
"畊","0x754a","ae75","gēng","田","9","null","畊","LFJH"
"畋","0x754b","eeb1","tián","田","9","火","畋","LTY"
"界","0x754c","bde7","jiè","田","9","木","界","LWJJ"
"畍","0x754d","ae76","jiè","田","9","null","畍","LWJH"
"畎","0x754e","eeb0","quǎn","田","9","木","畎","LDY"
"畏","0x754f","ceb7","wèi","田","9","土","畏","LGEU"
"畐","0x7550","ae77","fú bì","田","9","null","畐","GKLF"
"畑","0x7551","ae78","tián","田","9","null","畑","OLG"
"畒","0x7552","ae79","mǔ","田","9","null","畒","YLWY"
"畓","0x7553","ae7a","duō","田","9","null","畓","ILF"
"畔","0x7554","c5cf","pàn","田","10","水","畔","LUFH"
"畕","0x7555","ae7b","jiāng","田","10","null","畕","LLF"
"畖","0x7556","ae7c","wā","田","10","null","畖","LRCY"
"畗","0x7557","ae7d","dá fú","田","10","null","畗","YLF"
"畘","0x7558","ae7e","nán","田","10","null","畘","LMFG"
"留","0x7559","c1f4","liú","田","10","火","留","QYVL"
"畚","0x755a","dbce","běn","田","10","水","畚","CDLF"
"畛","0x755b","eeb3","zhěn","田","10","金","畛","LWET"
"畜","0x755c","d0f3","chù xù","田","10","火","畜","YXLF"
"畝","0x755d","ae80","mǔ","田","10","null","null","YLQY"
"畞","0x755e","ae81","mǔ","田","10","null","畞","FLQY"
"畟","0x755f","ae82","cè jì","田","10","null","畟","LWTU"
"畠","0x7560","ae83","zāi zī tián","田","10","null","畠","RLF"
"畡","0x7561","ae84","gāi","田","11","null","畡","LYNW"
"畢","0x7562","ae85","bì","田","10","null","null","JAFK"
"畣","0x7563","ae86","dá","田","11","null","畣","WGKL"
"畤","0x7564","ae87","zhì chóu shì","田","11","null","畤","LFFY"
"略","0x7565","c2d4","lüè","田","11","火","略","LTKG"
"畦","0x7566","c6e8","qí","田","11","土","畦","LFFG"
"畧","0x7567","ae88","lüè","田","11","null","畧","LTKF"
"畨","0x7568","ae89","fān pān","田","11","null","畨","OLF"
"畩","0x7569","ae8a","yī","田","11","null","畩","LYEY"
"番","0x756a","b7ac","fān pān","釆","12","水","番","TOLF"
"畫","0x756b","ae8b","huà","田","12","null","null","VFLG"
"畬","0x756c","ae8c","shē yú","田","12","null","畬","WTLF"
"畭","0x756d","ae8d","shē","田","12","null","畭","LWTY"
"畮","0x756e","ae8e","mǔ","田","12","null","畮","LTXU"
"畯","0x756f","ae8f","jùn","田","12","null","畯","LCWT"
"異","0x7570","ae90","yì","田","11","null","異","LAWU"
"畱","0x7571","ae91","liú","田","12","null","畱","GAJL"
"畲","0x7572","eeb4","shē","田","12","金","畲","WFIL"
"畳","0x7573","ae92","dié","田","12","null","畳","LPEG"
